Norman SusDat ID	SMILES	MS_Ready_SMILES	selected
NS00010630	CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	no
NS00010631	CSc1nc(NC(C)C)nc(NC(C)C)n1/CCNc1nc(NC(C)(C)C)nc(SC)n1	CSC1NC(NC(C)C)NC(NC(C)C)N1CCNc1nc(NC(C)(C)C)nc(SC)n1	no
NS00010632	O=C(c1ccccc1)c1ccccc1	O=C(c1ccccc1)c1ccccc1	no
NS00010635	CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC([O-])=O	CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)O	no
NS00010636	CC1=CC=C(C=C1)S(=O)(=O)N	Cc1ccc(cc1)S(=O)(=O)N	no
NS00010637	CCCCOC(=O)c1ccc(O)cc1	CCCCOC(=O)c1ccc(O)cc1	no
NS00010638	CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N	Cc1c(ccc(c1)Cc1cc(c(cc1)N)C)N	no
NS00010639	O=S(=O)(O)c1c(cc(cc1C)C)C	O=S(=O)(O)c1c(cc(cc1C)C)C	no
NS00010640	CN1C=NC2=C1C(=O)N(C(=O)N2)C	Cn1cnc2c1c(=O)n(c(=O)[nH]2)C	no
NS00010641	Cc1cc(=O)n(n1C)C(C)C	Cc1cc(=O)n(n1C)C(C)C	no
NS00010643	c1cc(cnc1)C2CCCCN2	c1cc(cnc1)C1CCCCN1	no
NS00010644	Cc1c(cccc1Cl)N	Cc1c(cccc1Cl)N	no
NS00010645	C1CCC(=C(C1)C(=O)O)C(=O)O	C1CCC(=C(C1)C(=O)O)C(=O)O	no
NS00010646	Cc1cc(=O)oc2c1ccc(c2)O	Cc1cc(=O)oc2c1ccc(c2)O	no
NS00010647	CCN(CC)CCOC(=O)c1cccnc1	CCN(CC)CCOC(=O)c1cccnc1	no
NS00010648	Cc1cccc(c1)OCC(CNC(C)C)O	Cc1cccc(c1)OCC(CNC(C)C)O	no
NS00010649	CCC1(CCC(=O)NC1=O)c2ccc(cc2)N	CCC1(CCC(=O)NC1=O)c1ccc(cc1)N	no
NS00010650	CN1CCN2c3ccccc3Cc4ccccc4C2C1	CN1CCN2c3ccccc3Cc3ccccc3C2C1	no
NS00010651	CCOC(=O)[C@@]1(CCC=C[C@H]1N(C)C)c2ccccc2	CCOC(=O)C1(CCC=CC1N(C)C)c1ccccc1	no
